Time,Temperature ,Humidity
2022-07-24 12:56:00,21.6,77
2022-07-24 12:59:48,21.6,77
2022-07-24 13:03:36,21.4,77
2022-07-24 13:11:12,21.9,78
2022-07-24 13:15:00,21.9,78
2022-07-24 13:18:48,21.8,78
2022-07-24 13:22:36,21.6,78
2022-07-24 13:26:24,21.6,79
2022-07-24 13:36:51,21.6,79
2022-07-24 13:44:27,21.5,79
2022-07-24 13:48:15,21.5,79
2022-07-24 13:52:03,21.5,79
2022-07-24 13:55:51,21.4,79
2022-07-24 13:59:39,21.3,79
2022-07-24 14:03:27,21.3,79
2022-07-24 14:07:15,21.3,79
2022-07-24 14:11:03,21.2,80
2022-07-24 14:18:39,21,80
2022-07-24 14:26:15,20.7,80
2022-07-24 14:40:30,20.6,81
2022-07-24 14:44:18,20.6,81
2022-07-24 14:48:06,20.6,82
2022-07-24 14:51:54,20.7,81
2022-07-24 14:55:42,20.7,82
2022-07-24 14:59:30,20.8,82
2022-07-24 15:03:18,21,81
2022-07-24 15:07:06,21,81
2022-07-24 15:10:54,21,82
2022-07-24 15:14:42,21,82
2022-07-24 15:22:18,21,81
2022-07-24 15:40:21,20.3,82
2022-07-24 15:47:57,20.4,82
2022-07-24 15:51:45,20.6,82
2022-07-24 15:55:33,20.7,82
2022-07-24 15:59:21,20.8,82
2022-07-24 16:03:09,21,82
2022-07-24 16:10:45,21.2,82
2022-07-24 16:22:09,21.2,82
2022-07-24 16:25:57,21,82
2022-07-24 16:40:12,20.6,82
2022-07-24 16:44:00,20.5,82
2022-07-24 16:47:48,20.4,82
2022-07-24 16:51:36,20.3,82
2022-07-24 16:59:12,20.3,82
2022-07-24 17:03:00,20.2,82
2022-07-24 17:10:35,20.1,83
2022-07-24 17:21:59,20.2,83
2022-07-24 17:25:47,20.3,83
2022-07-24 17:43:50,20.5,83
2022-07-24 17:47:38,20.6,83
2022-07-24 17:51:26,20.6,83
2022-07-24 17:55:14,20.6,83
2022-07-24 17:59:02,20.6,83
2022-07-24 18:02:50,20.6,83
2022-07-24 18:06:38,20.6,83
2022-07-24 18:10:26,20.5,83
2022-07-24 18:14:14,20.4,83
2022-07-24 18:18:02,20.5,83
2022-07-24 18:33:14,20.5,83
2022-07-24 18:37:02,20.5,83
2022-07-24 18:55:05,20.7,82
2022-07-24 18:58:53,20.6,82
2022-07-24 19:02:41,20.6,82
2022-07-24 19:06:29,20.6,82
2022-07-24 19:10:17,20.6,82
2022-07-24 19:14:05,20.5,82
2022-07-24 19:17:53,20.5,82
2022-07-24 19:21:41,20.4,82
2022-07-24 19:25:29,20.3,82
2022-07-24 19:29:17,20.3,82
2022-07-24 19:33:05,20.3,82
2022-07-24 19:36:53,20.3,82
2022-07-24 19:51:08,20.2,82
2022-07-24 19:54:56,20,82
2022-07-24 19:58:44,20,82
2022-07-24 20:02:32,20,82
2022-07-24 20:06:20,20,82
2022-07-24 20:13:56,19.9,82
2022-07-24 20:17:44,19.8,82
2022-07-24 20:29:08,19.8,82
2022-07-24 20:32:56,19.7,82
2022-07-24 20:36:44,19.6,82
2022-07-24 20:40:32,19.6,82
2022-07-24 20:47:11,19.5,82
2022-07-24 20:58:35,19.3,81
2022-07-24 21:02:23,19.3,81
2022-07-24 21:06:11,19.2,81
2022-07-24 21:13:47,19.3,81
2022-07-24 21:21:23,19.4,82
2022-07-24 21:25:11,19.4,82
2022-07-24 21:32:47,19.4,82
2022-07-24 21:36:35,19.4,82
2022-07-24 21:40:23,19.5,81
2022-07-24 21:54:38,19.3,81
2022-07-24 21:58:26,19.2,81
2022-07-24 22:02:14,19.2,81
2022-07-24 22:06:02,19.1,81
2022-07-24 22:09:50,19.1,81
2022-07-24 22:13:38,19.1,80
2022-07-24 22:17:26,19.2,81
2022-07-24 22:21:14,19.1,80
2022-07-24 22:25:02,19.2,80
2022-07-24 22:28:50,19.2,80
2022-07-24 22:32:37,19.2,80
2022-07-24 22:36:25,19.2,80
2022-07-24 22:40:13,19.2,80
2022-07-24 23:02:04,19.3,80
2022-07-24 23:05:52,19.2,80
2022-07-24 23:09:40,19.2,80
2022-07-24 23:13:28,19.1,80
2022-07-24 23:21:04,18.9,80
2022-07-24 23:28:40,18.9,80
2022-07-24 23:36:16,18.7,80
2022-07-24 23:40:04,18.7,80
